SKU,URL,Thumbnail Image,Name,RoHS Compliance,Part Count,Quantity,Price (USD),Total
COM-00523,https://www.sparkfun.com/products/523,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,Electrolytic Decoupling Capacitors - 10uF/25V,1,,1,0.45,0.45
COM-10969,https://www.sparkfun.com/products/10969,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,Resistor Kit - 1/4W (500 total),1,,1,7.95,7.95
COM-09939,https://www.sparkfun.com/products/9939,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,"Rotary Potentiometer - 10k Ohm, Linear",,,1,0.95,0.95
CAB-11301,https://www.sparkfun.com/products/11301,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,SparkFun USB Mini-B Cable - 6 Foot,1,,1,3.95,3.95
PRT-12047,https://www.sparkfun.com/products/12047,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,Breadboard - Mini Modular (Black),1,,1,3.95,3.95
COM-10727,https://www.sparkfun.com/products/10727,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,Rocker Switch - Medium,1,,1,0.5,0.5
CAB-10215,https://www.sparkfun.com/products/10215,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,USB microB Cable - 6 Foot,1,,1,4.95,4.95
PRT-11231,https://www.sparkfun.com/products/11231,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,Power Cell - LiPo Charger/Booster,1,,1,19.95,19.95
PRT-08483,https://www.sparkfun.com/products/8483,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,Polymer Lithium Ion Battery - 2000mAh,1,,1,16.95,16.95
DEV-09873,https://www.sparkfun.com/products/9873,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,FTDI Basic Breakout - 3.3V,1,,1,14.95,14.95
PRT-00116,https://www.sparkfun.com/products/116,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,Break Away Headers - Straight,1,,2,1.5,3.0
DEV-11114,https://www.sparkfun.com/products/11114,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,Arduino Pro Mini 328 - 3.3V/8MHz,1,,1,9.95,9.95
WRL-11777,https://www.sparkfun.com/products/11777,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,Roving Networks RN-52 Audio Bluetooth Breakout,1,,1,49.95,49.95
,https://www.adafruit.com/products/1314,https://www.adafruit.com/images/medium/1314_MED.jpg,"Speaker - 3"" Diameter - 4 Ohm 3 Watt",,,1,1.95,1.95
,https://www.adafruit.com/products/1552,https://www.adafruit.com/images/medium/1552_MED.jpg,Stereo 2.8W Class D Audio Amplifier - TS2012,,,1,9.95,9.95
,,,,,,,,149.35
,,,,,,,,
PRT-08431,https://www.sparkfun.com/products/8431,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,"Jumper Wires Premium 6\"" M/M Pack of 10",1,10,1,3.95,3.95
PRT-09140,https://www.sparkfun.com/products/9140,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,"Jumper Wires Premium 6\"" M/F Pack of 10",1,10,1,3.95,3.95
PRT-08430,https://www.sparkfun.com/products/8430,https://dlnmh9ip6v2uc.cloudfront.net/images/framework/no_image_92.jpg,"Jumper Wires Premium 6\"" F/F Pack of 10",1,10,1,3.95,3.95
,,,,,30,,,11.85
,,,,,,,,
,http://www.amazon.com/dp/B00BQA5BWU/,http://ecx.images-amazon.com/images/I/41pGr98wHAL.jpg,3 x 40P 20cm Dupont Wire Jumper Cable 2.54 1P-1P Male-Male/Female-Female/Female-Male,,120,1,7.73,7.73
,,,,,,,,7.73
,,,,,,,,
,,,Amazon Jumper Cables,,,,,157.08
,,,Sparkfun Jumper Cables,,,,,161.20